env.set_additional_goal,env.reward_type,env,algo,loss_pol_surr,EpLenMean,TimeElapsed,loss_ent,EpThisIter,loss_kl,loss_vf_loss,EpRewMean,TimestepsSoFar,EpisodesSoFar,ev_tdlam_before,loss_pol_entpen,suc_percent,best_suc_percent,perf_flag,success percentage
angle,ttr,PlanarQuadEnv-v0,ppo,,,,,,,,,,,,,,,,
,,,,,26.23076923076923,22.32502818107605,,20,,,887.7408737046769,1023,39,,,,,,0.9487179487179487
,,,,,26.189655172413794,33.63074970245361,,19,,,875.857078572854,1519,58,,,,,,0.9482758620689655
,,,,,26.23076923076923,44.93784499168396,,20,,,879.1140428127092,2046,78,,,,,,0.9487179487179487
,,,,,26.371134020618555,56.08152747154236,,19,,,890.661891460805,2558,97,,,,,,0.9587628865979382
,,,,-0.024804655,25.58974358974359,22.785017490386963,0.76341945,39,0.021826856,161487.97,820.0763293842956,998,39,0.017885208129882812,0.0,,,,
,,,,-0.027693547,26.350649350649352,45.295064210891724,0.7327126,38,0.007442275,159724.5,859.9624578078995,2029,77,0.0017884373664855957,0.0,,,,
,,,,-0.03481177,26.56,67.99666213989258,0.71481234,39,0.0112392,163873.23,870.9117389024995,3058,116,0.0028067827224731445,0.0,,,,
,,,,-0.029961323,26.3,90.44601321220398,0.70701224,40,0.016638268,163321.11,851.7180614446949,4089,156,0.0828281044960022,0.0,,,,
,,,,-0.03726705,25.83,113.1808569431305,0.70320195,39,0.016633777,165944.9,816.1886406891894,5097,195,0.03171253204345703,0.0,,,,
,,,,-0.036901888,25.77,135.78237533569336,0.69474596,40,0.018177131,154663.8,779.404656239518,6141,235,0.0411607027053833,0.0,,,,
,,,,-0.032231603,25.89,158.532897233963,0.68398476,39,0.016054016,161168.3,762.0506305099933,7155,274,0.042801618576049805,0.0,,,,
,,,,-0.033276856,26.15,180.96655130386353,0.68164444,39,0.016755838,156940.2,808.39099219403,8187,313,0.06745833158493042,0.0,,,,
,,,,-0.038058437,26.49,203.56211495399475,0.6849469,38,0.014617074,152949.64,844.2011977828633,9203,351,0.04362809658050537,0.0,,,,
,,,,-0.039314054,26.16,227.03142142295837,0.6994244,40,0.014646837,162253.55,818.0058823792659,10226,391,0.02059340476989746,0.0,,,,
,,,,-0.031140525,25.55,250.1153998374939,0.7148322,41,0.01590991,159453.56,812.4525038503646,11261,432,0.03909409046173096,0.0,,,,
,,,,-0.030112404,25.38,272.74062609672546,0.70878,39,0.009484887,160401.14,809.7824414015463,12264,471,0.02359098196029663,0.0,,,,
,,,,-0.02883279,25.59,295.4456510543823,0.70051354,40,0.01823997,151880.98,843.4807064605847,13299,511,0.04959702491760254,0.0,,,,
,,,,-0.031398907,25.83,317.9774398803711,0.6906633,39,0.012292845,150835.75,819.4285406818683,14313,550,0.05083876848220825,0.0,,,,
,,,,-0.03527753,25.96,340.62891483306885,0.6897891,40,0.012521696,164323.64,842.8264289928168,15354,590,0.03819781541824341,0.0,,,,
,,,,-0.032603223,26.0,363.2273778915405,0.6707468,39,0.012409155,149539.64,879.9516779903336,16361,629,-0.006039738655090332,0.0,,,,
,,,,-0.025190441,25.83,385.6463074684143,0.6766377,40,0.011697861,152083.9,860.1089754851852,17395,669,0.00019043684005737305,0.0,,,,
,,,,-0.039238352,25.59,408.29924750328064,0.6560983,41,0.017735269,149172.36,833.7234923402469,18428,710,0.03431504964828491,0.0,,,,
,,,,-0.033915736,25.58,430.9321894645691,0.64808905,39,0.014956892,137007.17,836.8717179922086,19440,749,0.0021961331367492676,0.0,,,,
,,,,-0.036849283,25.87,453.49820375442505,0.65114784,39,0.016510813,139489.39,863.1981414860797,20459,788,0.011804521083831787,0.0,,,,
,,,,-0.031385683,25.82,476.2152302265167,0.63473165,40,0.011684782,137766.72,900.5526244183897,21485,828,-0.0008866786956787109,0.0,,,,
,,,,-0.033244994,25.53,498.7577095031738,0.6432572,41,0.015106879,154638.53,884.621695876232,22515,869,0.03910994529724121,0.0,,,,
,,,,-0.037476238,24.9,522.1477942466736,0.62933004,42,0.014989507,152937.38,845.5457097692895,23534,911,0.01247715950012207,0.0,,,,
,,,,-0.03209362,24.51,545.3094046115875,0.6370522,42,0.0106537305,143466.36,852.8017459244226,24563,953,0.015028417110443115,0.0,,,,
,,,,-0.03462294,24.55,567.8672573566437,0.6252464,41,0.012912602,139126.27,879.5105586252,25576,994,0.11322027444839478,0.0,,,,
,,,,-0.035590135,24.63,590.400233745575,0.6166114,42,0.017826268,137996.61,839.3366812069352,26617,1036,0.0888136625289917,0.0,,,,
